userid,timestamp,tweet_text,username,all_hashtags,followers_count,following_count,allnumberoftweetscount,retweets,likes
972803523866955777,2020-11-21 23:50:59,b'\xf0\x9f\x9a\x80 CRYPTO Alt Season Pump! &amp; BITCOIN is Beating Gold As An Inflation Hedge https://t.co/avjsGY1MfU via @YouTube @ThinkingCrypto1 #remoteviewing #bitcoin #Ethereum #cryptocurrency #cryptoviewing #blockchain #DeFi #XRP #Ripple #Litecoin #Tezos #Chainlink',b'CryptoViewing',"['remoteviewing', 'bitcoin', 'Ethereum', 'cryptocurrency', 'cryptoviewing', 'blockchain', 'DeFi', 'XRP', 'Ripple', 'Litecoin', 'Tezos', 'Chainlink']",1796,248,2628,1,1
941804156754460679,2020-11-21 23:50:45,"b"".@NoiaNetwork is building the internet of tomorrow and the $NOIA token will be the fuel driving it.  Can't wait for the reveals that are coming over the next few months.  -platform launch -tokenomics v2 -rebrand  #Crypto #Blockchain #Altcoins #internet https://t.co/OF3F3A18s2""",b'CryptoGrills',"['Crypto', 'Blockchain', 'Altcoins', 'internet']",10942,621,6291,5,32
220435357,2020-11-21 23:50:32,b'\xe2\x80\x98Many of us have PTSD\xe2\x80\x99: Pennsylvania nurses strike amid Covid fears #OG\xf0\x9f\x87\xba\xf0\x9f\x87\xb2 #Blockchain #StartUp\xf0\x9f\x93\x9a  https://t.co/oanu3jKYXr',b'OG45thPrez',"['OG', 'Blockchain', 'StartUp']",1925,4998,30449,0,0
226310002,2020-11-21 23:50:31,b'Artificial intelligence to increase air safety in the face of storms   READ MORE: https://t.co/Xa7RNFgHiU  #AI #DeepLearning #MachineIntelligence #MachineLearning #MixedLearning #SmartDevices~ https://t.co/GA4WDi68nG',b'IAM__Network',"['AI', 'DeepLearning', 'MachineIntelligence', 'MachineLearning', 'MixedLearning', 'SmartDevices']",17931,15485,945147,2,2
795322679637196800,2020-11-21 23:50:19,b'XRP will easily crack $ 100 in the near future \xf0\x9f\x9a\x80\xf0\x9f\x98\x8e\xf0\x9f\x8f\x86\xe2\x9c\xa8 #xrp #xrpthestandard #XRPUSD #XRPCommunity #XRPUSDT #xrpup #xrparmy #xrptothemoon #cryptocurrency #btc #fintech #blockchain #binance #ripple #RippleNet #bullrun #BULLISH #Bitcoin https://t.co/gd6z1ESEbB',b'xrp334',"['xrp', 'xrpthestandard', 'XRPUSD', 'XRPCommunity', 'XRPUSDT', 'xrpup', 'xrparmy', 'xrptothemoon', 'cryptocurrency', 'btc', 'fintech', 'blockchain', 'binance', 'ripple', 'RippleNet', 'bullrun', 'BULLISH', 'Bitcoin']",3169,4830,22773,8,26
729754661213884416,2020-11-21 23:50:03,"b'New article: ""Short Interest in Solar Senior Capital Ltd. (NASDAQ:SUNS) Drops By 18.5%"" has been published on Fintech Zoom - https://t.co/JNsNBp5ycj @FintechZoom #Fintech #Blockchain #Crypto #Cryptocurrency #ICO https://t.co/DvMk0eXUv2'",b'FinTechZoom',"['Fintech', 'Blockchain', 'Crypto', 'Cryptocurrency', 'ICO']",4580,360,101229,3,1
1138193471687278593,2020-11-21 23:49:27,b'Make #tuya devices more usable with #HomeAssistant - (https://t.co/wF03bSzis7) #IOT #SmartHome https://t.co/uZjCmzKyrQ',b'RayWitselHA',"['tuya', 'HomeAssistant', 'IOT', 'SmartHome']",40,8,3075,0,0
68433676,2020-11-21 23:49:03,b'Top 6 Data Science Programs for Beginners.  1. Learn #SQL 2. Programming for #DataScience with #Python 3. #Programming for #Data Science with R 4. Data ... #machinelearning #artificialintelligence #ai  #dataanalytics #bigdata https://t.co/5RR8AxvNMR',b'CatherineAdenle',"['SQL', 'DataScience', 'Python', 'Programming', 'Data', 'machinelearning', 'artificialintelligence', 'ai', 'dataanalytics', 'bigdata']",37500,2271,24228,29,15
729754661213884416,2020-11-21 23:49:01,"b'New article: ""PH to showcase fintech strategies at big-name world event in December"" has been published on Fintech Zoom - https://t.co/ABNOnBrrJD @FintechZoom #Fintech #Blockchain #Crypto #Cryptocurrency #ICO'",b'FinTechZoom',"['Fintech', 'Blockchain', 'Crypto', 'Cryptocurrency', 'ICO']",4580,360,101229,1,1
801229752182902784,2020-11-21 23:48:32,"b'My portfolio is up 89.13% in the past day trading via @eToro, check it out! https://t.co/KGYCdDEZJm  #0doubt #IoT #XRPCommunity #xrpthestandard #infosec #XRP #bradkimes #NWO #btc #xlm #eth #Telegram #Microsoft #Smile @JoelKatz @XRPeasy'",b'XRPeasy',"['0doubt', 'IoT', 'XRPCommunity', 'xrpthestandard', 'infosec', 'XRP', 'bradkimes', 'NWO', 'btc', 'xlm', 'eth', 'Telegram', 'Microsoft', 'Smile']",1235,4988,1390,0,0
